Day, Sessions, Users, Sessions Per User
" Day 0 "," 113007.0"," 43964.0"," 2.57"
" Day 1 "," 55100.0"," 15489.0"," 3.56"
" Day 2 "," 35058.0"," 10036.0"," 3.49"
" Day 3 "," 26941.0"," 7822.0"," 3.44"
" Day 4 "," 22065.0"," 6427.0"," 3.43"
" Day 5 "," 19303.0"," 5817.0"," 3.32"
" Day 6 "," 16938.0"," 5085.0"," 3.33"
" Day 7 "," 14843.0"," 4479.0"," 3.31"
" Day 8 "," 13606.0"," 3993.0"," 3.41"
" Day 9 "," 11557.0"," 3597.0"," 3.21"
" Day 10 "," 10870.0"," 3289.0"," 3.3"
" Day 11 "," 9503.0"," 3011.0"," 3.16"
" Day 12 "," 8727.0"," 2806.0"," 3.11"
" Day 13 "," 8264.0"," 2696.0"," 3.07"
" Day 14 "," 7864.0"," 2530.0"," 3.11"
" Day 15 "," 7130.0"," 2403.0"," 2.97"
" Day 16 "," 6524.0"," 2197.0"," 2.97"
" Day 17 "," 6123.0"," 2062.0"," 2.97"
" Day 18 "," 5735.0"," 1959.0"," 2.93"
" Day 19 "," 5205.0"," 1781.0"," 2.92"
" Day 20 "," 5229.0"," 1722.0"," 3.04"
" Day 21 "," 4867.0"," 1639.0"," 2.97"
" Day 22 "," 4256.0"," 1516.0"," 2.81"
" Day 23 "," 3970.0"," 1435.0"," 2.77"
" Day 24 "," 3862.0"," 1395.0"," 2.77"
" Day 25 "," 3544.0"," 1220.0"," 2.9"
" Day 26 "," 3256.0"," 1190.0"," 2.74"
" Day 27 "," 3226.0"," 1144.0"," 2.82"
" Day 28 "," 2986.0"," 1079.0"," 2.77"
" Day 29 "," 2728.0"," 1057.0"," 2.58"