Incomplete,Date,Active Users,% of Active Users
"","2015/05/10 00:00"," 9746 "," 0.7% "
"","2015/05/09 00:00"," 9604 "," 0.7% "
"","2015/05/08 00:00"," 9477 "," 0.7% "
"","2015/05/07 00:00"," 9557 "," 0.7% "
"","2015/05/06 00:00"," 9623 "," 0.7% "
"","2015/05/05 00:00"," 9379 "," 0.7% "
"","2015/05/04 00:00"," 9587 "," 0.7% "
"","2015/05/03 00:00"," 9877 "," 0.8% "
"","2015/05/02 00:00"," 9481 "," 0.7% "
"","2015/05/01 00:00"," 9072 "," 0.7% "
"","2015/04/30 00:00"," 9228 "," 0.7% "
"","2015/04/29 00:00"," 9409 "," 0.7% "
"","2015/04/28 00:00"," 9673 "," 0.7% "
"","2015/04/27 00:00"," 9843 "," 0.8% "
"","2015/04/26 00:00"," 10518 "," 0.8% "
"","2015/04/25 00:00"," 10503 "," 0.8% "
"","2015/04/24 00:00"," 10182 "," 0.8% "
"","2015/04/23 00:00"," 10027 "," 0.8% "
"","2015/04/22 00:00"," 9786 "," 0.8% "
"","2015/04/21 00:00"," 9808 "," 0.8% "
"","2015/04/20 00:00"," 9771 "," 0.8% "
"","2015/04/19 00:00"," 10435 "," 0.8% "
"","2015/04/18 00:00"," 9918 "," 0.8% "
"","2015/04/17 00:00"," 9697 "," 0.7% "
"","2015/04/16 00:00"," 9708 "," 0.7% "
"","2015/04/15 00:00"," 9932 "," 0.8% "
"","2015/04/14 00:00"," 10519 "," 0.8% "
"","2015/04/13 00:00"," 10858 "," 0.8% "
"","2015/04/12 00:00"," 11686 "," 0.9% "
"","2015/04/11 00:00"," 11152 "," 0.9% "
"","2015/04/10 00:00"," 9982 "," 0.8% "
"","2015/04/09 00:00"," 9206 "," 0.7% "
"","2015/04/08 00:00"," 8714 "," 0.7% "
"","2015/04/07 00:00"," 8436 "," 0.6% "
"","2015/04/06 00:00"," 8677 "," 0.7% "
"","2015/04/05 00:00"," 8653 "," 0.7% "
"","2015/04/04 00:00"," 8758 "," 0.7% "
"","2015/04/03 00:00"," 9038 "," 0.7% "
"","2015/04/02 00:00"," 9006 "," 0.7% "
"","2015/04/01 00:00"," 9293 "," 0.7% "
"","2015/03/31 00:00"," 9804 "," 0.8% "
"","2015/03/30 00:00"," 9910 "," 0.8% "
"","2015/03/29 00:00"," 10384 "," 0.8% "
"","2015/03/28 00:00"," 9515 "," 0.7% "
"","2015/03/27 00:00"," 8905 "," 0.7% "
"","2015/03/26 00:00"," 8770 "," 0.7% "
"","2015/03/25 00:00"," 8712 "," 0.7% "
"","2015/03/24 00:00"," 8713 "," 0.7% "
"","2015/03/23 00:00"," 9110 "," 0.7% "
"","2015/03/22 00:00"," 9665 "," 0.7% "
"","2015/03/21 00:00"," 9791 "," 0.8% "
"","2015/03/20 00:00"," 9624 "," 0.7% "
"","2015/03/19 00:00"," 10106 "," 0.8% "
"","2015/03/18 00:00"," 10409 "," 0.8% "
"","2015/03/17 00:00"," 10328 "," 0.8% "
"","2015/03/16 00:00"," 9751 "," 0.7% "
"","2015/03/15 00:00"," 9930 "," 0.8% "
"","2015/03/14 00:00"," 9764 "," 0.7% "
"","2015/03/13 00:00"," 9465 "," 0.7% "
"","2015/03/12 00:00"," 9478 "," 0.7% "
"","2015/03/11 00:00"," 9741 "," 0.7% "
"","2015/03/10 00:00"," 10130 "," 0.8% "
"","2015/03/09 00:00"," 10255 "," 0.8% "
"","2015/03/08 00:00"," 10681 "," 0.8% "
"","2015/03/07 00:00"," 11078 "," 0.9% "
"","2015/03/06 00:00"," 11285 "," 0.9% "
"","2015/03/05 00:00"," 11412 "," 0.9% "
"","2015/03/04 00:00"," 11216 "," 0.9% "
"","2015/03/03 00:00"," 10922 "," 0.8% "
"","2015/03/02 00:00"," 10614 "," 0.8% "
"","2015/03/01 00:00"," 11135 "," 0.9% "
"","2015/02/28 00:00"," 10956 "," 0.8% "
"","2015/02/27 00:00"," 10405 "," 0.8% "
"","2015/02/26 00:00"," 10507 "," 0.8% "
"","2015/02/25 00:00"," 10595 "," 0.8% "
"","2015/02/24 00:00"," 10738 "," 0.8% "
"","2015/02/23 00:00"," 10981 "," 0.8% "
"","2015/02/22 00:00"," 12503 "," 1.0% "
"","2015/02/21 00:00"," 12512 "," 1.0% "
"","2015/02/20 00:00"," 12006 "," 0.9% "
"","2015/02/19 00:00"," 11307 "," 0.9% "
"","2015/02/18 00:00"," 10803 "," 0.8% "
"","2015/02/17 00:00"," 10217 "," 0.8% "
"","2015/02/16 00:00"," 10530 "," 0.8% "
"","2015/02/15 00:00"," 10718 "," 0.8% "
"","2015/02/14 00:00"," 10311 "," 0.8% "
"","2015/02/13 00:00"," 9990 "," 0.8% "
"","2015/02/12 00:00"," 10106 "," 0.8% "
"","2015/02/11 00:00"," 10272 "," 0.8% "
"","2015/02/10 00:00"," 10726 "," 0.8% "
"","2015/02/09 00:00"," 10189 "," 0.8% "
"","2015/02/08 00:00"," 11290 "," 0.9% "
"","2015/02/07 00:00"," 11037 "," 0.8% "
"","2015/02/06 00:00"," 10457 "," 0.8% "
"","2015/02/05 00:00"," 10293 "," 0.8% "
"","2015/02/04 00:00"," 10233 "," 0.8% "
"","2015/02/03 00:00"," 9726 "," 0.7% "
"","2015/02/02 00:00"," 10055 "," 0.8% "
"","2015/02/01 00:00"," 10564 "," 0.8% "
"","2015/01/31 00:00"," 10565 "," 0.8% "
"","2015/01/30 00:00"," 10204 "," 0.8% "
"","2015/01/29 00:00"," 10159 "," 0.8% "
"","2015/01/28 00:00"," 10261 "," 0.8% "
"","2015/01/27 00:00"," 10674 "," 0.8% "
"","2015/01/26 00:00"," 10970 "," 0.8% "
"","2015/01/25 00:00"," 12081 "," 0.9% "
"","2015/01/24 00:00"," 12175 "," 0.9% "
"","2015/01/23 00:00"," 11742 "," 0.9% "
"","2015/01/22 00:00"," 11585 "," 0.9% "
"","2015/01/21 00:00"," 11412 "," 0.9% "
"","2015/01/20 00:00"," 10390 "," 0.8% "
"","2015/01/19 00:00"," 10769 "," 0.8% "
"","2015/01/18 00:00"," 11169 "," 0.9% "
"","2015/01/17 00:00"," 10841 "," 0.8% "
"","2015/01/16 00:00"," 10559 "," 0.8% "
"","2015/01/15 00:00"," 10520 "," 0.8% "
"","2015/01/14 00:00"," 10833 "," 0.8% "
"","2015/01/13 00:00"," 10753 "," 0.8% "
"","2015/01/12 00:00"," 11332 "," 0.9% "
"","2015/01/11 00:00"," 12504 "," 1.0% "
"","2015/01/10 00:00"," 12961 "," 1.0% "
"","2015/01/09 00:00"," 12464 "," 1.0% "
"","2015/01/08 00:00"," 11883 "," 0.9% "
"","2015/01/07 00:00"," 11686 "," 0.9% "
"","2015/01/06 00:00"," 11775 "," 0.9% "
"","2015/01/05 00:00"," 11691 "," 0.9% "