Date,Median Session Length,Total Time Spent in App,Avg Session Length
" 05/10/15 ","7 min 6 sec","5 mo 18 dy 4 hr 47 min 44 sec","11 min 1 sec"
" 05/09/15 ","6 min 50 sec","4 mo 26 dy 2 hr 12 min 22 sec","9 min 58 sec"
" 05/08/15 ","6 min 57 sec","4 mo 24 dy 6 hr 41 min 41 sec","9 min 58 sec"
" 05/07/15 ","6 min 53 sec","5 mo 5 dy 15 hr 3 min 47 sec","10 min 48 sec"
" 05/06/15 ","7 min 3 sec","5 mo 5 dy 7 hr 16 min 46 sec","10 min 13 sec"
" 05/05/15 ","6 min 46 sec","4 mo 27 dy 6 hr 51 min 36 sec","10 min 2 sec"
" 05/04/15 ","6 min 50 sec","4 mo 26 dy 6 hr 36 min 28 sec","9 min 44 sec"
" 05/03/15 ","7 min 0 sec","5 mo 8 dy 15 hr 35 min 26 sec","10 min 32 sec"
" 05/02/15 ","6 min 52 sec","4 mo 28 dy 18 hr 16 min 56 sec","9 min 59 sec"
" 05/01/15 ","6 min 42 sec","4 mo 15 dy 9 hr 40 min 23 sec","9 min 38 sec"
" 04/30/15 ","6 min 52 sec","4 mo 14 dy 4 hr 45 min 6 sec","9 min 31 sec"
" 04/29/15 ","6 min 56 sec","4 mo 24 dy 2 hr 38 min 36 sec","9 min 51 sec"
" 04/28/15 ","6 min 59 sec","5 mo 4 dy 17 hr 16 min 19 sec","9 min 52 sec"
" 04/27/15 ","6 min 45 sec","4 mo 29 dy 17 hr 10 min 18 sec","9 min 43 sec"
" 04/26/15 ","7 min 1 sec","5 mo 15 dy 1 hr 14 min 25 sec","9 min 51 sec"
" 04/25/15 ","6 min 52 sec","5 mo 19 dy 15 hr 43 min 29 sec","10 min 18 sec"
" 04/24/15 ","6 min 43 sec","5 mo 7 dy 10 hr 34 min 2 sec","9 min 42 sec"
" 04/23/15 ","6 min 34 sec","5 mo 3 dy 7 hr 46 min 17 sec","9 min 40 sec"
" 04/22/15 ","6 min 31 sec","5 mo 21 hr 38 min 26 sec","9 min 36 sec"
" 04/21/15 ","6 min 45 sec","5 mo 2 dy 9 hr 16 min 50 sec","9 min 54 sec"
" 04/20/15 ","6 min 51 sec","5 mo 5 dy 2 hr 36 min 55 sec","9 min 50 sec"
" 04/19/15 ","7 min 0 sec","5 mo 21 dy 5 hr 44 min 54 sec","10 min 14 sec"
" 04/18/15 ","6 min 39 sec","5 mo 10 dy 8 hr 21 min 29 sec","9 min 50 sec"
" 04/17/15 ","6 min 27 sec","4 mo 25 dy 14 hr 46 min 53 sec","9 min 25 sec"
" 04/16/15 ","6 min 29 sec","4 mo 26 dy 18 hr 31 min 44 sec","9 min 18 sec"
" 04/15/15 ","6 min 49 sec","5 mo 3 dy 16 hr 45 min 18 sec","9 min 46 sec"
" 04/14/15 ","6 min 46 sec","5 mo 13 dy 19 hr 20 min 24 sec","9 min 40 sec"
" 04/13/15 ","6 min 36 sec","5 mo 19 dy 40 min 28 sec","9 min 45 sec"
" 04/12/15 ","6 min 50 sec","6 mo 2 dy 17 hr 43 min 8 sec","10 min 11 sec"
" 04/11/15 ","6 min 42 sec","5 mo 21 dy 4 hr 39 min 37 sec","9 min 51 sec"
" 04/10/15 ","6 min 37 sec","5 mo 13 hr 28 min 38 sec","9 min 36 sec"
" 04/09/15 ","6 min 36 sec","4 mo 12 dy 19 hr 21 min 7 sec","9 min 14 sec"
" 04/08/15 ","6 min 31 sec","4 mo 9 dy 21 hr 45 min 12 sec","9 min 23 sec"
" 04/07/15 ","6 min 39 sec","4 mo 3 dy 19 hr 26 min 19 sec","9 min 13 sec"
" 04/06/15 ","6 min 36 sec","4 mo 12 dy 13 hr 32 min 23 sec","9 min 22 sec"
" 04/05/15 ","6 min 32 sec","4 mo 8 dy 9 hr 57 min 54 sec","9 min 14 sec"
" 04/04/15 ","6 min 26 sec","4 mo 11 dy 15 hr 37 min 35 sec","9 min 23 sec"
" 04/03/15 ","6 min 30 sec","4 mo 10 dy 15 hr 29 min 13 sec","9 min 3 sec"
" 04/02/15 ","6 min 30 sec","4 mo 25 dy 14 hr 34 min 28 sec","9 min 54 sec"
" 04/01/15 ","6 min 30 sec","4 mo 21 dy 1 hr 30 min 30 sec","9 min 35 sec"
" 03/31/15 ","6 min 45 sec","4 mo 29 dy 20 hr 45 min 15 sec","9 min 32 sec"
" 03/30/15 ","6 min 36 sec","5 mo 3 dy 7 hr 43 min 18 sec","9 min 52 sec"
" 03/29/15 ","6 min 49 sec","5 mo 7 dy 7 hr 29 min 24 sec","9 min 38 sec"
" 03/28/15 ","6 min 33 sec","4 mo 25 dy 18 hr 27 min 35 sec","9 min 46 sec"
" 03/27/15 ","6 min 27 sec","4 mo 12 dy 12 hr 4 min 5 sec","9 min 23 sec"
" 03/26/15 ","6 min 25 sec","4 mo 11 dy 9 hr 49 sec","9 min 13 sec"
" 03/25/15 ","6 min 26 sec","4 mo 15 dy 15 hr 29 min 30 sec","9 min 12 sec"
" 03/24/15 ","6 min 28 sec","4 mo 22 dy 2 hr 42 min 31 sec","9 min 55 sec"
" 03/23/15 ","6 min 27 sec","4 mo 23 dy 7 hr 4 min 49 sec","9 min 23 sec"
" 03/22/15 ","6 min 39 sec","5 mo 1 dy 9 hr 57 min 7 sec","9 min 19 sec"
" 03/21/15 ","6 min 41 sec","5 mo 17 dy 2 hr 13 min 21 sec","10 min 9 sec"
" 03/20/15 ","6 min 23 sec","5 mo 5 dy 14 hr 1 min 41 sec","9 min 40 sec"
" 03/19/15 ","6 min 34 sec","5 mo 13 dy 6 hr 27 min 34 sec","9 min 57 sec"
" 03/18/15 ","6 min 34 sec","5 mo 22 dy 14 hr 23 min 27 sec","10 min 3 sec"
" 03/17/15 ","6 min 25 sec","5 mo 14 dy 12 hr 12 min 34 sec","9 min 45 sec"
" 03/16/15 ","6 min 20 sec","5 mo 9 dy 17 hr 46 min 30 sec","9 min 55 sec"
" 03/15/15 ","6 min 32 sec","5 mo 8 dy 2 hr 18 min 0 sec","9 min 52 sec"
" 03/14/15 ","6 min 27 sec","5 mo 3 dy 2 hr 7 min 44 sec","9 min 25 sec"
" 03/13/15 ","6 min 6 sec","4 mo 23 dy 3 hr 55 min 32 sec","9 min 7 sec"
" 03/12/15 ","6 min 11 sec","4 mo 27 dy 23 min 11 sec","9 min 18 sec"
" 03/11/15 ","6 min 4 sec","4 mo 28 dy 1 hr 6 min 23 sec","8 min 56 sec"
" 03/10/15 ","6 min 23 sec","5 mo 4 dy 17 hr 40 min 32 sec","9 min 4 sec"
" 03/09/15 ","6 min 13 sec","5 mo 4 dy 1 hr 40 min 26 sec","8 min 54 sec"
" 03/08/15 ","6 min 20 sec","5 mo 15 dy 21 hr 53 min 47 sec","9 min 14 sec"
" 03/07/15 ","6 min 26 sec","5 mo 28 dy 12 hr 19 min 25 sec","9 min 34 sec"
" 03/06/15 ","6 min 30 sec","6 mo 16 hr 49 min 50 sec","9 min 39 sec"
" 03/05/15 ","6 min 30 sec","6 mo 1 dy 4 hr 31 min 39 sec","9 min 41 sec"
" 03/04/15 ","6 min 19 sec","5 mo 22 dy 7 hr 26 min 35 sec","9 min 23 sec"
" 03/03/15 ","6 min 16 sec","5 mo 24 dy 19 hr 48 min 49 sec","9 min 32 sec"
" 03/02/15 ","6 min 12 sec","5 mo 23 dy 1 hr 11 min 58 sec","9 min 40 sec"
" 03/01/15 ","6 min 18 sec","5 mo 23 dy 22 hr 18 min 59 sec","9 min 16 sec"
" 02/28/15 ","6 min 2 sec","5 mo 15 dy 7 hr 50 min 43 sec","8 min 56 sec"
" 02/27/15 ","5 min 50 sec","5 mo 2 dy 6 hr 56 min 55 sec","8 min 41 sec"
" 02/26/15 ","5 min 45 sec","5 mo 7 dy 15 hr 3 min 49 sec","8 min 22 sec"
" 02/25/15 ","5 min 53 sec","5 mo 7 dy 12 hr 42 min 32 sec","8 min 42 sec"
" 02/24/15 ","5 min 52 sec","5 mo 6 dy 4 hr 33 min 27 sec","8 min 33 sec"
" 02/23/15 ","5 min 54 sec","5 mo 19 dy 20 hr 27 min 45 sec","8 min 50 sec"
" 02/22/15 ","6 min 12 sec","6 mo 16 dy 2 hr 45 sec","9 min 5 sec"
" 02/21/15 ","5 min 56 sec","6 mo 9 dy 10 hr 15 min 53 sec","8 min 59 sec"
" 02/20/15 ","5 min 51 sec","5 mo 23 dy 19 hr 27 min 8 sec","8 min 39 sec"
" 02/19/15 ","5 min 42 sec","5 mo 22 dy 21 hr 36 min 56 sec","8 min 59 sec"
" 02/18/15 ","5 min 42 sec","5 mo 12 dy 15 hr 34 min 52 sec","8 min 38 sec"
" 02/17/15 ","5 min 37 sec","4 mo 29 dy 19 hr 14 min 4 sec","8 min 24 sec"
" 02/16/15 ","5 min 41 sec","5 mo 6 dy 11 hr 28 min 14 sec","8 min 16 sec"
" 02/15/15 ","5 min 52 sec","5 mo 9 dy 22 hr 26 min 15 sec","8 min 29 sec"
" 02/14/15 ","5 min 51 sec","5 mo 8 dy 7 hr 59 min 45 sec","8 min 42 sec"
" 02/13/15 ","5 min 40 sec","4 mo 24 dy 17 hr 12 min 14 sec","8 min 23 sec"
" 02/12/15 ","5 min 38 sec","5 mo 13 hr 41 min 26 sec","8 min 29 sec"
" 02/11/15 ","5 min 43 sec","5 mo 5 dy 22 hr 13 min 23 sec","8 min 40 sec"
" 02/10/15 ","5 min 43 sec","5 mo 12 dy 23 hr 39 min 58 sec","8 min 39 sec"
" 02/09/15 ","5 min 45 sec","5 mo 4 dy 2 hr 27 min 48 sec","8 min 51 sec"
" 02/08/15 ","5 min 56 sec","5 mo 24 dy 9 hr 54 min 40 sec","9 min 5 sec"
" 02/07/15 ","5 min 45 sec","5 mo 16 dy 16 hr 39 min 25 sec","8 min 44 sec"
" 02/06/15 ","5 min 41 sec","5 mo 9 dy 14 hr 3 min 22 sec","8 min 30 sec"
" 02/05/15 ","5 min 30 sec","4 mo 26 dy 11 hr 3 min 2 sec","8 min 4 sec"
" 02/04/15 ","5 min 49 sec","5 mo 3 dy 14 hr 55 min 3 sec","8 min 40 sec"
" 02/03/15 ","6 min 19 sec","5 mo 6 dy 3 min 3 sec","9 min 4 sec"
" 02/02/15 ","6 min 30 sec","5 mo 24 dy 1 hr 57 min 6 sec","9 min 27 sec"
" 02/01/15 ","6 min 22 sec","5 mo 27 dy 16 hr 25 min 24 sec","9 min 28 sec"
" 01/31/15 ","6 min 18 sec","5 mo 22 dy 5 hr 51 min 22 sec","9 min 14 sec"
" 01/30/15 ","6 min 25 sec","5 mo 19 dy 4 hr 24 min 35 sec","9 min 32 sec"
" 01/29/15 ","6 min 26 sec","5 mo 21 dy 14 hr 31 min 22 sec","9 min 25 sec"
" 01/28/15 ","6 min 26 sec","5 mo 19 dy 9 hr 17 min 30 sec","9 min 24 sec"
" 01/27/15 ","6 min 25 sec","5 mo 22 dy 20 hr 21 sec","9 min 8 sec"
" 01/26/15 ","6 min 30 sec","6 mo 3 dy 14 hr 4 min 14 sec","9 min 35 sec"
" 01/25/15 ","6 min 45 sec","7 mo 8 dy 22 hr 56 min 2 sec","10 min 4 sec"
" 01/24/15 ","6 min 46 sec","7 mo 8 hr 57 min 39 sec","9 min 59 sec"
" 01/23/15 ","6 min 30 sec","6 mo 14 dy 20 hr 14 min 27 sec","9 min 40 sec"
" 01/22/15 ","6 min 35 sec","6 mo 14 dy 5 hr 35 min 22 sec","9 min 58 sec"
" 01/21/15 ","6 min 32 sec","6 mo 7 dy 14 hr 11 min 28 sec","9 min 36 sec"
" 01/20/15 ","6 min 7 sec","5 mo 9 dy 12 hr 3 min 22 sec","8 min 54 sec"
" 01/19/15 ","6 min 13 sec","5 mo 24 dy 7 hr 18 min 56 sec","9 min 17 sec"
" 01/18/15 ","6 min 29 sec","6 mo 10 dy 17 hr 44 min 16 sec","9 min 25 sec"
" 01/17/15 ","6 min 22 sec","6 mo 14 hr 52 min 39 sec","9 min 25 sec"
" 01/16/15 ","6 min 16 sec","5 mo 17 dy 4 hr 32 min 35 sec","9 min 0 sec"
" 01/15/15 ","6 min 14 sec","5 mo 19 dy 16 hr 28 min 43 sec","9 min 7 sec"
" 01/14/15 ","6 min 23 sec","5 mo 28 dy 11 hr 44 min 38 sec","9 min 17 sec"
" 01/13/15 ","6 min 22 sec","5 mo 23 dy 22 hr 7 min 44 sec","9 min 8 sec"
" 01/12/15 ","6 min 10 sec","6 mo 4 dy 15 hr 24 min 41 sec","9 min 3 sec"
" 01/11/15 ","6 min 40 sec","7 mo 7 dy 7 hr 23 min 6 sec","9 min 33 sec"
" 01/10/15 ","6 min 29 sec","7 mo 21 dy 2 hr 18 min 31 sec","9 min 33 sec"
" 01/09/15 ","6 min 16 sec","7 mo 1 dy 8 hr 57 min 1 sec","9 min 18 sec"
" 01/08/15 ","6 min 15 sec","6 mo 22 dy 9 hr 21 min 46 sec","9 min 10 sec"
" 01/07/15 ","6 min 11 sec","6 mo 16 dy 18 hr 59 min 55 sec","9 min 2 sec"
" 01/06/15 ","6 min 25 sec","7 mo 4 dy 8 hr 37 min 41 sec","9 min 24 sec"
" 01/05/15 ","6 min 14 sec","6 mo 16 dy 29 min 59 sec","8 min 57 sec"