"",,Days Since Install
03/09/15,791.0,42.6%,29.2%,24.15%,19.72%,16.56%,14.92%,11.63%,12.9%,12.52%,10.24%,9.36%,9.1%,9.36%,7.96%,8.34%,8.22%,7.33%,6.7%,7.96%,6.95%,6.7%,6.07%,6.45%,6.32%,4.8%,4.8%,5.18%,5.44%,4.17%
03/08/15,893.0,36.95%,26.65%,22.73%,17.92%,16.35%,15.79%,14.67%,13.77%,12.09%,10.19%,10.53%,10.64%,10.97%,10.19%,8.17%,7.73%,8.17%,7.95%,8.06%,7.05%,7.39%,6.38%,5.71%,7.05%,7.5%,6.83%,6.27%,5.82%,5.82%
03/07/15,1107.0,40.38%,26.65%,21.68%,19.42%,17.07%,15.54%,15.72%,13.73%,10.48%,11.92%,10.21%,10.75%,8.58%,9.76%,10.21%,8.67%,8.22%,8.67%,7.14%,7.68%,7.32%,8.31%,7.05%,6.78%,5.87%,5.33%,5.6%,6.14%,6.41%
03/06/15,1523.0,41.5%,28.37%,23.31%,20.62%,17.2%,16.48%,15.56%,14.25%,13.66%,12.41%,12.67%,11.62%,11.1%,11.1%,10.77%,10.44%,9.52%,9%,8.86%,8.6%,8.67%,8.4%,9%,8.01%,7.75%,7.22%,7.29%,7.09%,5.91%
03/05/15,1698.0,38.75%,27.86%,21.85%,17.73%,16.84%,13.6%,13.31%,13.66%,11.31%,11.84%,10.42%,9.48%,8.78%,9.01%,8.54%,7.71%,8.01%,7.54%,7.48%,6.6%,7.24%,6.18%,6.6%,6.01%,6.65%,6.71%,6.3%,5.24%,6.3%
03/04/15,1633.0,42.93%,29.15%,24.19%,21.68%,18.37%,16.11%,15.13%,13.9%,13.23%,11.7%,11.02%,9.98%,10.47%,9.49%,9.8%,8.88%,8.76%,7.9%,8.33%,7.9%,7.23%,8.57%,7.59%,6.12%,7.1%,7.04%,6.74%,5.82%,5.57%
03/03/15,1593.0,42.18%,30.07%,22.03%,19.71%,17.01%,15.19%,14.81%,12.81%,11.11%,11.42%,10.67%,10.8%,10.3%,10.3%,9.1%,8.47%,7.6%,8.41%,8.79%,7.78%,7.03%,7.16%,6.84%,6.47%,6.72%,6.78%,6.78%,5.71%,5.52%
03/02/15,1257.0,41.77%,26.57%,22.91%,20.6%,17.18%,15.35%,14.08%,13.52%,12.17%,11.85%,10.34%,9.94%,9.15%,8.75%,9.86%,8.99%,8.35%,7.08%,8.04%,8.19%,7.8%,6.76%,6.13%,5.89%,5.33%,6.05%,5.57%,6.52%,5.25%
03/01/15,1322.0,37.97%,26.17%,23.45%,20.65%,17.4%,17.55%,14.52%,13.92%,12.71%,10.67%,10.44%,10.36%,11.35%,11.42%,8.7%,9.46%,9%,8.4%,7.87%,8.55%,8.47%,8.09%,6.13%,7.19%,6.96%,6.35%,7.34%,5.82%,6.28%
02/28/15,1418.0,42.17%,28.84%,24.47%,20.59%,18.62%,15.02%,16.36%,15.16%,12.13%,10.44%,10.65%,10.08%,10.58%,11%,9.66%,7.62%,8.32%,8.46%,7.83%,8.11%,7.4%,8.25%,7.4%,6.56%,6.06%,6.28%,6.42%,6.63%,5.85%
02/27/15,871.0,40.64%,24.23%,21.01%,16.53%,15.04%,12.97%,12.51%,10.22%,9.99%,9.53%,9.64%,8.15%,7.92%,9.41%,7.23%,7.12%,7.12%,5.74%,7%,6.66%,6.31%,6.89%,5.63%,5.86%,6.77%,5.4%,6.08%,5.28%,5.17%
02/26/15,887.0,41.04%,26.16%,21.87%,18.83%,15.67%,14.21%,12.85%,11.95%,12.97%,10.15%,10.26%,9.92%,8.12%,7.67%,8.12%,8.12%,8%,7.22%,7.1%,6.76%,6.43%,7.55%,6.31%,5.52%,5.3%,5.98%,4.74%,5.75%,4.06%
02/25/15,892.0,37.89%,23.09%,21.3%,16.14%,15.36%,13.23%,12.11%,11.43%,10.2%,9.42%,8.74%,7.96%,7.96%,8.3%,7.85%,6.05%,6.95%,5.72%,6.39%,5.04%,4.93%,4.6%,4.37%,5.61%,5.16%,4.71%,4.71%,4.48%,3.59%
02/24/15,1097.0,41.29%,28.62%,21.06%,17.41%,16.04%,13.86%,12.94%,12.49%,11.94%,10.94%,10.48%,10.12%,10.39%,9.3%,9.02%,8.57%,8.02%,7.38%,7.2%,6.93%,7.29%,6.38%,7.11%,5.47%,5.47%,5.47%,5.38%,4.65%,4.56%
02/23/15,1064.0,38.72%,28.48%,20.21%,18.52%,15.88%,14.94%,13.91%,11.84%,10.53%,8.93%,7.89%,8.74%,8.27%,8.93%,7.42%,7.99%,6.3%,7.61%,7.05%,6.11%,6.11%,5.64%,5.17%,5.26%,4.7%,5.08%,4.79%,4.32%,4.14%
02/22/15,1932.0,37.32%,27.17%,21.79%,20.08%,16.56%,15.73%,15.63%,11.49%,11.7%,12.32%,10.77%,9.37%,9.68%,9.78%,8.85%,9.06%,8.54%,7.71%,7.61%,7.3%,7.3%,6.47%,6.63%,6.63%,5.95%,6%,7.25%,6.63%,6.26%
02/21/15,2236.0,40.56%,25.27%,21.91%,18.11%,14.36%,13.86%,16.28%,13.64%,11.49%,10.87%,10.33%,9.66%,9.84%,10.11%,9.84%,7.92%,7.83%,7.16%,7.56%,7.29%,8.01%,7.96%,6.62%,6.17%,6.4%,5.77%,5.37%,6.57%,6.75%
02/20/15,2257.0,39.96%,26.54%,20.12%,17.15%,15.02%,14.8%,13.69%,12.45%,11.56%,10.23%,8.99%,9.08%,8.37%,7.35%,8.37%,7%,7%,7.31%,6.25%,6.34%,6.11%,6.29%,5.58%,5.27%,5.54%,5.45%,4.96%,5.01%,5.32%
02/19/15,1884.0,42.25%,27.65%,21.87%,19.37%,15.61%,15.18%,14.49%,12.58%,10.51%,12.05%,9.98%,10.35%,10.08%,9.77%,8.92%,8.33%,8.39%,7.22%,7.43%,7.54%,6.9%,7.32%,6.1%,6.58%,5.68%,6.16%,5.57%,6.1%,6.1%
02/18/15,1465.0,41.64%,29.15%,23.75%,20.61%,16.66%,13.79%,13.65%,11.54%,11.13%,10.1%,10.38%,10.1%,9.35%,10.03%,7.71%,8.05%,7.71%,7.17%,7.92%,7.03%,6.76%,6.14%,6.96%,5.94%,5.94%,6.08%,5.26%,5.6%,5.32%
02/17/15,1000.0,39.5%,26.7%,21.9%,19.9%,15.8%,13.8%,11%,12.2%,11.6%,9.3%,9.1%,10%,10.1%,8.1%,7.4%,9%,8.6%,7.3%,7.1%,7.6%,7.3%,6.8%,6.7%,5.9%,5.9%,5.2%,5.5%,4.9%,4.8%
02/16/15,1037.0,40.31%,27.29%,22.66%,18.51%,17.16%,15.53%,12.92%,11.57%,11.28%,9.74%,11.67%,8.29%,9.35%,7.62%,7.43%,7.71%,6.56%,6.65%,7.43%,7.33%,6.27%,5.79%,5.79%,5.98%,4.73%,5.5%,5.11%,4.53%,4.82%
02/15/15,1189.0,40.2%,27.92%,23.89%,19.68%,18.5%,14.8%,16.32%,11.02%,12.2%,11.27%,9.92%,10.51%,10.77%,10.09%,8.41%,8.24%,7.23%,7.4%,7.32%,6.14%,7.4%,6.06%,5.8%,5.38%,5.55%,5.8%,4.54%,5.13%,4.88%
02/14/15,1120.0,39.55%,25.8%,21.43%,19.2%,15.71%,16.16%,15%,13.3%,11.43%,10.98%,9.64%,8.93%,9.38%,9.11%,10.09%,7.32%,7.68%,6.96%,7.5%,7.32%,7.14%,6.52%,5.89%,5.54%,6.07%,5.8%,6.25%,5.62%,5.62%
02/13/15,941.0,37.19%,28.69%,22.1%,18.81%,16.47%,14.35%,14.77%,11.26%,12.86%,11.16%,9.67%,8.5%,9.99%,9.78%,8.18%,8.4%,7.76%,7.01%,8.71%,6.91%,6.8%,5.1%,4.36%,5.31%,4.99%,4.68%,4.78%,5.53%,4.78%
02/12/15,912.0,41.34%,29.93%,24.78%,20.83%,18.53%,16.89%,16.78%,14.14%,13.6%,13.38%,10.96%,10.53%,9.43%,9.98%,9.21%,8.55%,7.79%,7.79%,7.13%,6.47%,7.24%,7.24%,5.59%,6.03%,5.92%,5.7%,5.26%,5.81%,4.82%
02/11/15,948.0,43.04%,31.65%,24.16%,19.2%,18.78%,16.46%,15.08%,14.56%,12.03%,12.76%,12.66%,12.34%,10.86%,9.81%,11.29%,10.44%,9.07%,8.44%,8.54%,6.65%,7.91%,6.12%,8.12%,6.86%,7.17%,7.07%,5.91%,6.22%,5.91%
02/10/15,1267.0,40.41%,30.07%,23.76%,21.47%,19.34%,18.39%,15.31%,14.92%,12.23%,11.92%,12.55%,11.13%,10.58%,9.63%,10.18%,8.68%,8.21%,8.21%,7.34%,7.34%,7.97%,6.63%,7.5%,6.95%,6.71%,6.63%,5.6%,6.39%,6%
02/09/15,1332.0,38.81%,27.85%,21.47%,19.82%,16.89%,17.19%,15.92%,12.54%,12.99%,13.14%,11.86%,11.71%,10.44%,10.06%,9.98%,9.01%,9.16%,9.76%,8.03%,8.41%,7.88%,7.58%,7.81%,8.03%,6.46%,6.61%,6.01%,7.36%,5.86%
02/08/15,1599.0,36.09%,23.7%,19.39%,16.14%,14.82%,14.57%,14.7%,12.26%,10.63%,11.13%,10.19%,9.26%,9.51%,9.63%,7.88%,7.07%,6.75%,6.25%,6.75%,6.94%,7%,6.5%,6.38%,5.19%,5.88%,5.94%,6.5%,6.63%,6.5%
02/07/15,1466.0,40.52%,24.56%,18.83%,17.05%,14.53%,14.12%,14.6%,13.71%,12.35%,10.5%,10.64%,11.05%,9.89%,10.3%,9.62%,7.64%,7.23%,7.16%,6.89%,7.37%,6.62%,6.48%,6.41%,7.03%,5.18%,5.8%,5.18%,5.32%,5.25%
02/06/15,1024.0,40.92%,24.71%,19.63%,16.7%,15.72%,13.67%,14.45%,11.52%,13.18%,10.84%,10.55%,10.55%,8.69%,8.11%,9.67%,8.59%,6.54%,6.74%,7.81%,7.13%,7.42%,6.64%,5.47%,6.25%,5.86%,5.47%,5.66%,5.66%,5.08%
02/05/15,913.0,36.8%,25.52%,18.18%,17.09%,13.8%,13.03%,12.6%,9.75%,9.31%,8.98%,8.76%,7.89%,7.67%,6.79%,7.56%,7.78%,6.24%,6.13%,4.93%,5.04%,5.15%,5.48%,4.49%,5.04%,4.6%,4.82%,4.49%,4.6%,3.94%
02/04/15,1037.0,37.03%,24.49%,20.15%,16.59%,14.95%,14.46%,11.86%,10.99%,10.7%,9.55%,10.41%,10.13%,8.58%,7.43%,8.29%,8.68%,7.52%,7.62%,7.33%,6.08%,6.27%,6.08%,5.3%,5.11%,5.21%,4.44%,5.01%,5.11%,4.53%
02/03/15,1061.0,36.57%,26.67%,20.74%,19.6%,16.49%,12.63%,14.04%,12.35%,9.33%,9.8%,8.86%,10.27%,9.14%,8.67%,9.43%,9.43%,9.43%,8.2%,7.63%,6.6%,7.07%,7.07%,6.13%,5.84%,5.94%,7.26%,5.94%,6.31%,6.13%
02/02/15,1110.0,31.35%,23.15%,20.72%,16.49%,12.7%,13.42%,9.73%,9.73%,9.1%,8.38%,7.75%,7.93%,8.02%,8.29%,7.75%,7.21%,6.13%,6.31%,5.68%,5.05%,5.23%,5.41%,5.5%,4.68%,4.77%,4.59%,4.68%,3.96%,4.41%
02/01/15,1236.0,36.17%,23.38%,18.77%,17.88%,15.13%,14.08%,13.43%,10.28%,11.49%,10.28%,8.5%,8.82%,8.98%,8.9%,8.5%,8.58%,7.52%,6.55%,7.93%,7.61%,6.88%,5.99%,5.42%,5.5%,5.1%,5.58%,6.39%,5.1%,4.37%
01/31/15,1269.0,35.7%,22.85%,17.57%,16.63%,15.05%,15.45%,12.14%,13%,8.59%,9.69%,8.59%,9.06%,7.17%,7.8%,7.57%,7.33%,7.49%,6.38%,5.83%,6.3%,6.78%,6.54%,6.07%,6.46%,5.75%,4.81%,5.44%,6.23%,4.96%
01/30/15,1058.0,35.35%,23.44%,17.67%,15.22%,12.38%,12.29%,13.61%,12.1%,9.74%,9.17%,8.51%,8.22%,9.17%,8.88%,7.28%,7.75%,6.9%,7.75%,7.47%,7.94%,6.62%,5.29%,5.58%,5.95%,5.77%,5.29%,5.1%,5.86%,5.39%
01/29/15,1052.0,32.6%,20.53%,17.97%,15.68%,14.26%,11.31%,12.36%,10.46%,9.32%,9.79%,6.46%,7.51%,8.46%,7.13%,7.13%,6.18%,6.46%,6.37%,5.89%,6.94%,6.27%,5.61%,5.04%,5.23%,5.23%,4.75%,5.13%,4.85%,3.99%
01/28/15,1057.0,34.63%,25.17%,19.96%,15.61%,14.38%,12.11%,12.49%,11.54%,11.54%,11.35%,12.02%,9.18%,10.79%,9.56%,8.04%,9.08%,7.85%,8.04%,8.51%,7.57%,7.57%,6.34%,6.05%,5.68%,6.62%,5.96%,6.15%,5.01%,5.68%
01/27/15,1099.0,35.94%,23.75%,19.75%,16.2%,11.92%,12.47%,10.74%,11.46%,10.19%,8.83%,8.74%,8.55%,8.19%,8.37%,8.1%,7.1%,5.82%,6.82%,6.19%,5.46%,6.55%,5.73%,5.91%,4.82%,5.1%,5.37%,5.1%,5.37%,5.37%
01/26/15,1135.0,35.33%,21.23%,17.18%,14.45%,12.69%,12.6%,10.31%,9.16%,8.46%,8.55%,9.78%,7.93%,7.58%,6.96%,7.22%,7.14%,6.43%,4.85%,5.46%,5.99%,6.43%,4.85%,5.81%,5.73%,5.02%,4.76%,4.93%,3.88%,4.85%
01/25/15,1608.0,32.15%,24.19%,17.1%,14.37%,13.18%,13.12%,11.94%,9.14%,8.15%,9.51%,7.59%,8.83%,9.83%,8.27%,6.34%,6.9%,6.59%,6.28%,5.53%,6.78%,5.97%,6.41%,5.78%,5.66%,5.35%,5.78%,6.09%,5.29%,5.6%
01/24/15,2000.0,37.9%,22.6%,17.95%,15.15%,12.95%,12.6%,13.55%,11.45%,8.85%,8.2%,7.9%,7.35%,8.4%,7.75%,7.95%,6.2%,6.4%,6.45%,5.7%,6.05%,6.25%,5.6%,5.65%,5.8%,4.85%,5.6%,5.55%,5.4%,5.4%
01/23/15,2044.0,39.29%,26.37%,19.86%,17.56%,15.8%,14.33%,14.29%,13.11%,12.92%,10.76%,9.39%,10.32%,9.39%,10.03%,10.03%,7.73%,6.8%,7.78%,7.63%,6.8%,6.9%,6.95%,7.05%,7.05%,6.75%,6.16%,6.31%,6.02%,6.02%
01/22/15,1984.0,37.9%,24.8%,20.67%,17.34%,16.08%,12.8%,12.7%,12.1%,10.79%,10.13%,8.97%,8.77%,8.67%,8.87%,9.27%,8.82%,8.52%,7.66%,7.36%,7.51%,7.76%,6.6%,7.46%,6.25%,6.65%,6.65%,6.2%,6.3%,6.35%
01/21/15,1979.0,39.16%,26.17%,22.23%,17.64%,15.36%,14.6%,12.03%,11.87%,10.61%,10.46%,9.55%,10.16%,9.55%,8.44%,8.49%,7.83%,7.93%,7.48%,7.18%,7.12%,7.38%,6.67%,6.06%,6.72%,6.11%,6.92%,6.32%,5.81%,5.76%
01/20/15,1230.0,34.39%,21.63%,17.64%,15.45%,13.09%,11.54%,10.49%,9.27%,8.05%,8.29%,7.8%,7.48%,6.91%,7.32%,6.99%,7.24%,6.42%,5.53%,6.34%,4.8%,5.61%,4.47%,4.39%,4.8%,5.12%,4.15%,3.98%,4.31%,4.63%
01/19/15,1222.0,33.22%,21.28%,17.18%,14.57%,12.93%,12.36%,12.27%,10.56%,9.17%,9.57%,7.53%,7.86%,7.2%,7.04%,6.55%,5.97%,6.46%,5.56%,6.63%,5.65%,5.16%,5.16%,4.5%,4.91%,4.83%,3.68%,4.91%,3.93%,4.42%
01/18/15,1304.0,32.13%,22.16%,17.94%,16.1%,12.58%,12.58%,13.27%,11.04%,10.43%,9.28%,8.51%,8.51%,8.59%,8.74%,6.21%,6.44%,6.52%,5.83%,7.98%,6.44%,7.13%,4.98%,5.67%,5.52%,4.91%,4.68%,4.75%,5.83%,4.37%
01/17/15,1227.0,34.23%,22.58%,16.87%,17.03%,13.2%,13.2%,11.41%,10.68%,8.72%,8.23%,8.07%,7.17%,7.74%,8.15%,6.36%,5.79%,5.62%,6.03%,5.7%,6.28%,6.52%,5.3%,4.24%,5.22%,5.13%,5.05%,4.97%,5.7%,4.65%
01/16/15,1038.0,35.65%,24.18%,18.5%,15.03%,13.78%,12.81%,12.24%,10.79%,10.21%,9.44%,8.96%,8.77%,8.29%,8.09%,7.61%,7.61%,5.3%,5.49%,6.26%,7.32%,8.38%,6.65%,6.94%,5.59%,5.39%,5.97%,5.97%,6.07%,5.88%
01/15/15,993.0,33.64%,23.06%,18.63%,15.11%,14.3%,12.08%,11.58%,11.08%,8.86%,8.56%,6.95%,7.15%,7.45%,6.75%,5.64%,6.34%,6.45%,6.55%,6.14%,6.24%,6.55%,5.84%,5.94%,5.34%,4.93%,5.54%,4.83%,5.34%,4.93%
01/14/15,1140.0,35.53%,23.68%,19.91%,17.89%,15.26%,14.39%,13.95%,12.37%,12.37%,12.02%,11.23%,10.88%,9.56%,9.47%,8.6%,8.68%,8.6%,6.49%,6.49%,6.84%,6.93%,7.11%,6.32%,6.49%,6.14%,4.91%,5.7%,5.44%,5.61%
01/13/15,1000.0,33.8%,24%,19.5%,16.3%,14.7%,12.6%,11%,10.8%,10.1%,8.6%,8.3%,8.9%,8.2%,7.7%,7%,6.7%,5.8%,6.3%,7.1%,6.3%,5.7%,6%,5.8%,6.2%,4.9%,5%,4.3%,5.6%,5.5%
01/12/15,1054.0,33.68%,21.92%,18.12%,15.65%,12.9%,12.52%,11.39%,9.77%,10.25%,9.11%,8.54%,8.44%,9.01%,7.87%,5.6%,6.07%,5.69%,5.6%,5.5%,5.22%,5.31%,4.27%,5.79%,4.65%,3.51%,4.46%,3.7%,3.89%,4.27%
01/11/15,1433.0,32.73%,23.8%,18.56%,16.96%,14.24%,15.07%,11.79%,11.51%,9.84%,7.4%,8.16%,7.19%,8.23%,6.84%,6.63%,6.49%,5.86%,5.37%,5.09%,5.93%,5.51%,5.44%,5.09%,5.51%,5.44%,4.68%,5.58%,5.51%,4.33%
01/10/15,2068.0,36.75%,23.6%,18.04%,15.43%,13.3%,12.57%,13.93%,12.67%,10.11%,9.43%,9.24%,8.32%,8.8%,9.57%,7.69%,7.5%,6.77%,6.48%,6.67%,6.38%,7.64%,7.3%,5.85%,5.37%,5.66%,6.04%,6%,5.9%,6.19%
01/09/15,1749.0,35.73%,25.1%,19.38%,16.07%,13.89%,12.41%,12.46%,11.32%,10.12%,10.41%,8.06%,9.03%,8.92%,7.95%,7.66%,8.06%,8.06%,7.83%,7.6%,6.8%,7.09%,6%,6.52%,5.89%,5.2%,5.77%,5.15%,5.83%,6.52%
01/08/15,1481.0,38.62%,26.87%,22.55%,18.77%,15.26%,13.44%,13.03%,11.68%,10.74%,11.41%,8.85%,8.51%,7.97%,7.43%,6.89%,7.22%,6.14%,6.35%,6.14%,6.35%,5.54%,6.08%,5.47%,5.74%,5.33%,4.12%,4.93%,5.4%,4.79%
01/07/15,1246.0,37.8%,26.97%,21.75%,16.93%,15.01%,12.12%,11.08%,9.71%,8.35%,9.39%,9.15%,7.87%,5.86%,6.82%,5.62%,6.34%,5.7%,6.98%,5.54%,5.06%,4.65%,5.14%,4.82%,4.9%,4.82%,4.25%,4.09%,4.57%,4.49%
01/06/15,1309.0,41.33%,28.11%,23.15%,18.72%,17.11%,14.9%,13.83%,12.45%,11.31%,10.31%,10.92%,9.55%,10.08%,8.79%,8.25%,8.02%,7.49%,6.72%,8.4%,7.79%,7.64%,7.1%,5.58%,5.35%,6.34%,6.42%,5.42%,4.81%,5.65%
01/05/15,1244.0,37.38%,27.49%,20.82%,18.33%,17.2%,15.11%,13.26%,11.17%,10.93%,11.25%,9.08%,9.32%,9.49%,9.08%,8.28%,7.72%,8.04%,7.4%,6.59%,6.11%,5.63%,5.55%,5.39%,6.11%,5.23%,5.23%,5.39%,5.55%,5.95%
Overall,150278.0,38.78%,26.62%,21.54%,18.44%,16.32%,14.92%,14.12%,12.63%,11.54%,10.85%,10.19%,9.79%,9.65%,9.32%,8.73%,8.28%,7.8%,7.56%,7.44%,7.28%,7.18%,6.81%,6.47%,6.23%,6.08%,5.97%,5.88%,5.83%,5.66%
